,Name,Chance of playing this round,Chance of playing next round,code,Position,Live cost,PPG,GWPoints,Percentage owned,Team,Total points,Minutes Played,Goals Scored,Assists,Clean sheets,Goals Conceded,Penalties Saved,Penalties Missed,Yellow Cards,Saves,Bonus,ICT,Fixture_Strength,Result_Strength,Predicted Points
196,Nathaniel Clyne,100.0,100.0,57328,2,45,2.2,0,0.1,6,28,1145,0,1,2,22,0,0,2,0,0,27.2,0,0,0
197,Stephen Henderson,,,42525,1,40,0.0,0,0.4,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
198,Jack Butland,100.0,100.0,105666,1,45,0.0,0,0.1,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
199,Jean-Philippe Mateta,100.0,100.0,231747,4,54,2.6,0,0.0,6,13,181,1,0,0,4,0,0,0,0,2,14.0,0,0,0
200,Reece Hannam,,,223824,2,40,0.0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
201,Jesurun Rak-Sakyi,,,450542,3,45,0.0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
202,Fabian Delph,100.0,100.0,41823,3,48,1.0,0,0.0,7,6,235,0,0,0,5,0,0,1,0,0,4.6,0,0,0
203,Gylfi Sigurdsson,100.0,100.0,55422,3,69,3.6,3,2.4,7,109,1825,6,4,7,24,0,0,1,0,13,135.2,0,0,0
204,Jonas Lössl,0.0,0.0,57513,1,43,0.0,0,0.1,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
205,Seamus Coleman,100.0,100.0,59949,2,49,3.0,7,1.8,7,60,1182,0,3,5,16,0,0,0,0,4,57.8,0,0,0
206,Cenk Tosun,0.0,0.0,66838,4,60,0.8,0,0.0,7,4,44,0,0,0,3,0,0,1,0,0,1.8,0,0,0
207,Bernard Anício Caldeira Duarte,100.0,100.0,100649,3,57,2.0,0,0.1,7,18,390,1,0,2,4,0,0,2,0,1,29.0,0,0,0
208,Lucas Digne,100.0,100.0,101188,2,61,3.7,6,8.8,7,89,2141,0,8,6,34,0,0,2,0,11,111.6,0,0,0
209,Michael Keane,,75.0,106611,2,51,3.5,0,5.7,7,106,2539,3,1,8,37,0,0,4,0,12,98.1,0,0,0
210,Jordan Pickford,100.0,100.0,111234,1,48,3.6,9,4.6,7,89,2202,0,0,7,31,0,0,1,73,8,57.3,0,0,0
211,André Filipe Tavares Gomes,100.0,100.0,120250,3,53,1.8,3,0.2,7,43,1451,0,1,5,21,0,0,3,0,0,48.2,0,0,0
212,Alex Iwobi,100.0,100.0,153133,3,59,2.3,0,0.2,7,61,1407,1,3,5,18,0,0,0,0,1,71.7,0,0,0
213,Jonjoe Kenny,0.0,0.0,153673,2,43,1.2,0,0.1,7,5,78,0,0,0,1,0,0,0,0,0,2.8,0,0,0
214,Jean-Philippe Gbamin,0.0,0.0,160987,3,50,1.0,0,0.0,7,1,11,0,0,0,1,0,0,0,0,0,0.5,0,0,0
215,Yerry Mina,100.0,100.0,164511,2,55,3.0,1,1.7,7,65,1785,2,0,4,22,0,0,2,0,5,66.9,0,0,0
216,Tom Davies,100.0,100.0,173807,3,52,1.9,1,0.1,7,41,1229,0,1,4,18,0,0,3,0,1,31.8,0,0,0
217,Dominic Calvert-Lewin,100.0,100.0,177815,4,75,5.2,2,27.1,7,140,2331,14,6,8,31,0,0,3,0,16,199.7,0,0,0
218,Mason Holgate,100.0,100.0,194164,2,48,3.2,5,0.9,7,71,1942,1,0,8,24,0,0,8,0,4,56.9,0,0,0
219,Richarlison de Andrade,100.0,100.0,212319,4,78,3.8,5,8.2,7,105,2342,6,6,8,30,0,0,3,0,15,165.0,0,0,0
220,João Virgínia,,,222627,1,43,2.0,0,0.1,7,2,47,0,0,0,0,0,0,0,3,0,2.5,0,0,0
221,Anthony Gordon,0.0,0.0,232826,3,43,1.0,0,0.4,7,3,87,0,0,0,0,0,0,0,0,0,3.1,0,0,0
222,Moise Kean,0.0,0.0,242058,4,57,1.0,0,0.2,7,2,13,0,0,0,0,0,0,0,0,0,0.9,0,0,0
223,Jarrad Branthwaite,0.0,0.0,480455,2,39,0.0,0,1.1,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
224,Allan Marques Loureiro,100.0,100.0,119765,3,52,1.8,2,0.6,7,33,1510,0,0,4,22,0,0,5,0,0,42.3,0,0,0
225,James Rodríguez,100.0,100.0,60025,3,77,4.5,3,8.8,7,100,1686,6,5,5,26,0,0,3,0,11,142.7,0,0,0
226,Abdoulaye Doucouré,0.0,0.0,121599,3,51,2.8,0,0.6,7,71,2131,2,3,7,32,0,0,6,0,2,94.2,0,0,0
227,Niels Nkounkou,100.0,100.0,495542,2,40,1.0,0,0.2,7,1,68,0,0,0,1,0,0,1,0,0,2.0,0,0,0
228,Ben Godfrey,100.0,100.0,198826,2,50,2.9,9,0.5,7,73,2143,0,1,8,27,0,0,4,0,4,63.8,0,0,0
229,Robin Olsen,100.0,100.0,111782,1,45,3.6,0,0.1,7,25,630,0,0,2,9,0,0,1,21,3,16.7,0,0,0
230,Ellis Simms,0.0,0.0,218997,4,45,0.0,0,0.1,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
231,Tyler Onyango,,,461446,3,45,0.0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
232,Joshua King,100.0,100.0,78007,4,51,1.0,0,0.1,7,9,124,0,0,0,2,0,0,0,0,0,4.1,0,0,0
233,Kyle John,,,232829,2,40,0.0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
234,Nathan Broadhead,,,173818,3,45,1.0,0,0.0,7,1,2,0,0,0,0,0,0,0,0,0,0.2,0,0,0
235,Ryan Astley,,,422612,2,40,0.0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
236,Harry Tyrer,,,447325,1,40,0.0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
237,Reece Welch,,,474907,2,40,0.0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
238,Isaac Price,,,491559,3,45,0.0,0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
239,Ruben Loftus-Cheek,100.0,0.0,126187,3,59,2.2,0,0.2,8,63,1874,1,0,11,21,0,0,3,0,0,87.6,0,0,0
240,Fabricio Agosto Ramírez,,,40559,1,39,0.0,0,2.1,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
241,Kevin McDonald,0.0,0.0,55038,3,47,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
242,Maxime Le Marchand,0.0,0.0,61739,2,41,0.5,0,0.1,8,1,122,0,0,0,1,0,0,2,0,0,1.6,0,0,0
243,Stefan Johansen,0.0,0.0,61916,3,47,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
244,Tom Cairney,0.0,0.0,76357,3,52,2.7,0,0.1,8,27,758,1,1,1,15,0,0,2,0,2,57.3,0,0,0
245,Tim Ream,,,82514,2,42,1.4,0,0.1,8,7,450,0,0,0,10,0,0,0,0,0,8.8,0,0,0
246,Anthony Knockaert,0.0,0.0,83543,3,50,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
247,Michael Hector,,,84915,2,41,0.0,0,0.1,8,0,262,0,0,0,10,0,0,2,0,0,6.9,0,0,0
248,Cyrus Christie,0.0,0.0,87107,2,42,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
249,Neeskens Kebano,0.0,0.0,92259,3,47,1.2,0,0.0,8,6,116,0,0,0,3,0,0,0,0,0,5.9,0,0,0
250,Bobby Decordova-Reid,100.0,100.0,96994,4,53,2.6,0,0.6,8,72,1942,5,1,9,22,0,0,7,0,6,94.5,0,0,0
251,Joe Bryan,,,101105,2,45,1.1,0,0.3,8,14,470,0,1,0,14,0,0,2,0,0,17.6,0,0,0
252,Marcus Bettinelli,0.0,0.0,122074,1,43,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
253,Aleksandar Mitrović,100.0,100.0,128389,4,55,2.4,0,3.4,8,60,1290,3,3,1,22,0,1,3,0,7,118.7,0,0,0
254,Alfie Mawson,0.0,0.0,149266,2,43,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
255,Marek Rodák,25.0,25.0,155529,1,43,1.0,0,0.2,8,1,90,0,0,0,3,0,0,0,2,0,1.8,0,0,0
256,Ivan Ricardo Neves Abreu Cavaleiro,100.0,100.0,166324,3,53,2.4,0,0.1,8,75,2028,3,0,7,33,0,1,2,0,4,122.9,0,0,0
257,Josh Onomah,100.0,100.0,168765,3,46,1.0,0,0.0,8,7,168,0,0,0,8,0,0,1,0,0,5.5,0,0,0
258,Jean Michaël Seri,0.0,0.0,170271,3,46,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
259,Aboubakar Kamara,0.0,0.0,197030,3,48,0.7,0,0.0,8,8,307,0,0,0,9,0,0,1,0,0,13.2,0,0,0
260,André-Frank Zambo Anguissa,,,203325,3,44,2.2,0,1.3,8,68,2204,0,3,6,32,0,0,5,0,4,103.7,0,0,0
261,Zeze Steven Sessegnon,0.0,0.0,208998,2,43,0.0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
262,Harrison Reed,100.0,100.0,153366,3,44,2.3,0,0.6,8,66,2122,0,3,9,31,0,0,5,0,0,81.0,0,0,0
263,Antonee Robinson,100.0,100.0,169528,2,44,2.1,0,0.2,8,55,1979,0,0,5,24,0,0,4,0,1,99.1,0,0,0
264,Mario Lemina,100.0,100.0,151086,3,45,2.0,0,0.3,8,51,1439,1,1,3,22,0,0,3,0,3,52.2,0,0,0
265,Alphonse Areola,,,84182,1,46,3.6,0,4.7,8,115,2880,0,0,9,40,0,0,1,102,8,76.9,0,0,0
266,Kenny Tete,75.0,75.0,167074,2,43,2.7,0,0.2,8,48,1243,0,1,5,20,0,0,2,0,3,66.1,0,0,0
267,Denis Odoi,,,72681,2,42,0.3,0,0.1,8,1,270,0,0,0,10,0,0,1,0,0,6.4,0,0,0
268,Ademola Lookman,100.0,100.0,219352,3,48,3.4,0,1.5,8,99,2388,4,4,10,26,0,1,4,0,8,206.8,0,0,0
269,Ola Aina,,,159506,2,44,3.5,0,2.2,8,101,2513,2,1,8,32,0,0,2,0,8,83.7,0,0,0
270,Joachim Andersen,100.0,100.0,174874,2,45,3.3,0,0.4,8,90,2401,1,1,9,29,0,0,5,0,7,74.5,0,0,0
271,Tosin Adarabioyo,,,109646,2,45,3.4,0,0.6,8,94,2520,0,1,9,31,0,0,1,0,11,82.8,0,0,0
272,Terence Kongolo,0.0,0.0,109434,2,43,2.0,0,0.0,8,2,90,0,0,0,1,0,0,0,0,0,2.4,0,0,0
273,Josh Maja,,,195480,4,52,3.2,0,0.6,8,35,648,3,0,5,5,0,0,0,0,5,48.3,0,0,0
274,Wes Morgan,25.0,25.0,15033,2,44,1.0,0,0.1,9,3,16,0,0,0,0,0,0,0,0,0,0.3,0,0,0
275,Kasper Schmeichel,100.0,100.0,17745,1,54,3.8,2,10.2,9,124,2970,0,0,11,38,0,0,0,79,6,69.6,0,0,0
276,Christian Fuchs,100.0,100.0,37402,2,45,2.7,0,0.2,9,24,701,0,0,3,9,0,0,4,0,2,19.2,0,0,0
277,Jonny Evans,100.0,100.0,37642,2,56,3.7,5,2.0,9,99,2383,1,2,10,30,0,0,7,0,10,70.5,0,0,0
278,Adrien Silva,0.0,0.0,46483,3,44,0.0,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
279,Marc Albrighton,,,51938,3,52,2.2,1,0.1,9,58,1389,0,6,4,13,0,0,2,0,0,93.8,0,0,0
280,Matty James,0.0,0.0,61604,3,43,0.0,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
281,Danny Ward,,,95463,1,43,0.0,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
282,Jamie Vardy,100.0,100.0,101668,4,103,5.6,2,23.5,9,163,2399,13,13,8,32,0,1,1,0,20,210.7,0,0,0
283,Dennis Praet,100.0,100.0,106837,3,52,2.5,0,0.1,9,37,714,1,2,3,11,0,0,0,0,1,36.9,0,0,0
284,Ricardo Domingos Barbosa Pereira,100.0,100.0,111931,2,59,2.2,0,0.9,9,26,835,0,1,2,13,0,0,2,0,0,43.9,0,0,0
285,Daniel Amartey,100.0,100.0,155569,2,39,1.7,0,1.4,9,20,718,1,0,0,12,0,0,2,0,2,22.7,0,0,0
286,Youri Tielemans,,,166989,3,64,3.6,2,3.8,9,120,2906,6,3,11,38,0,0,6,0,11,169.9,0,0,0
287,Ayoze Pérez,100.0,100.0,168580,3,60,2.5,1,0.6,9,49,1086,2,0,5,13,0,0,1,0,2,82.1,0,0,0
288,Demarai Gray,0.0,0.0,172632,3,51,1.0,0,0.1,9,1,18,0,0,0,0,0,0,0,0,0,0.5,0,0,0
289,James Maddison,100.0,100.0,172780,3,73,4.8,2,7.5,9,125,1782,8,7,10,21,0,0,4,0,12,181.9,0,0,0
290,Kelechi Iheanacho,,,173515,4,62,4.4,12,23.1,9,88,1062,10,1,5,12,0,1,0,0,15,131.0,0,0,0
291,Hamza Choudhury,,,197469,3,46,1.4,0,0.1,9,13,301,0,0,2,2,0,0,1,0,0,7.5,0,0,0
292,Harvey Barnes,0.0,0.0,201666,3,66,5.0,0,2.9,9,126,1944,9,5,7,25,0,0,0,0,13,172.7,0,0,0
293,Wilfred Ndidi,100.0,100.0,203341,3,48,3.1,2,0.7,9,65,1753,1,3,7,21,0,0,5,0,9,68.5,0,0,0
294,Filip Benkovic,0.0,0.0,213405,2,43,0.0,0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
295,Çaglar Söyüncü,100.0,100.0,218031,2,53,2.5,2,2.9,9,45,1366,0,0,5,18,0,0,2,0,0,45.2,0,0,0
296,James Justin,0.0,0.0,220627,2,48,4.4,0,6.5,9,101,2070,2,2,9,25,0,0,4,0,13,96.0,0,0,0
297,Luke Thomas,,,244619,2,41,1.6,2,0.3,9,14,609,0,0,1,9,0,0,2,0,0,17.5,0,0,0
298,Timothy Castagne,100.0,100.0,166477,2,58,4.0,9,6.4,9,89,1895,2,4,6,25,0,0,1,0,7,88.3,0,0,0
299,Nampalys Mendy,,,86881,3,42,1.8,0,1.5,9,38,1370,0,1,4,21,0,0,5,0,0,26.1,0,0,0
300,Cengiz Ünder,100.0,100.0,228798,3,57,1.8,0,0.0,9,16,275,0,2,0,5,0,0,0,0,0,24.9,0,0,0
301,Wesley Fofana,100.0,100.0,444463,2,50,2.9,2,1.1,9,67,1925,0,1,7,23,0,0,6,0,5,59.4,0,0,0
302,Islam Slimani,0.0,0.0,149828,4,49,1.0,0,0.1,9,1,19,0,0,0,1,0,0,0,0,0,1.8,0,0,0
303,Vontae Daley-Campbell,,,232229,2,40,0.0,0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
304,Thakgalo Leshabela,,,232881,3,44,1.0,0,0.0,9,1,9,0,0,0,0,0,0,0,0,0,0.2,0,0,0
305,Sidnei Tavares,,,421796,3,44,1.5,0,0.0,9,3,84,0,0,0,1,0,0,0,0,0,2.0,0,0,0
306,Shane Flynn,,,447373,3,45,0.0,0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
307,Thanawat Suengchitthawon,,,513789,3,45,0.0,0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
308,Pablo Hernández Domínguez,100.0,100.0,28690,3,57,1.5,0,0.2,10,21,334,0,2,0,5,0,0,1,0,0,24.6,0,0,0
309,Francisco Casilla Cortés,100.0,100.0,39790,1,42,2.0,0,0.8,10,2,90,0,0,0,1,0,0,0,1,0,0.8,0,0,0
310,Liam Cooper,0.0,0.0,55914,2,43,2.3,0,0.3,10,52,2006,1,0,5,40,0,0,3,0,2,85.1,0,0,0
311,Barry Douglas,0.0,0.0,57913,2,38,0.0,0,2.9,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
312,Luke Ayling,,,66588,2,44,2.5,5,2.5,10,83,2949,0,0,10,50,0,0,6,0,1,144.5,0,0,0
313,Mateusz Klich,100.0,100.0,72222,3,52,2.7,1,2.4,10,87,2132,3,5,7,41,0,0,6,0,3,129.1,0,0,0
314,Adam Forshaw,0.0,0.0,80179,3,48,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
315,Stuart Dallas,,,87873,2,53,4.5,6,26.9,10,148,2960,7,3,10,49,0,0,6,0,14,147.5,0,0,0
316,Ezgjan Alioski,100.0,100.0,105377,2,43,2.8,5,1.9,10,86,2051,2,1,8,32,0,0,7,0,6,99.7,0,0,0
317,Patrick Bamford,100.0,100.0,106617,4,65,5.0,1,43.5,10,165,2724,14,10,9,47,0,0,3,0,19,236.0,0,0,0
318,Jack Harrison,100.0,100.0,221399,3,54,4.3,3,3.1,10,132,2396,7,7,9,41,0,0,2,0,13,189.8,0,0,0
319,Kalvin Phillips,100.0,100.0,155405,3,49,2.3,3,0.9,10,58,2202,0,2,8,33,0,0,7,0,2,104.8,0,0,0
320,Hélder Wander Sousa de Azevedo e Costa,,75.0,165808,3,50,2.9,3,2.2,10,63,1150,3,4,3,23,0,0,0,0,2,64.7,0,0,0
321,Tyler Roberts,,,173821,3,46,1.7,2,0.1,10,38,1137,0,2,4,15,0,0,3,0,0,54.3,0,0,0
322,Jay-Roy Grot,0.0,0.0,204642,3,47,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
323,Kamil Miazek,0.0,0.0,214987,1,40,0.0,0,0.8,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
324,Ian Carlo Poveda-Ocampo,100.0,100.0,215460,3,42,1.0,1,0.3,10,12,290,0,0,0,4,0,0,0,0,0,19.7,0,0,0
325,Jamie Shackleton,100.0,100.0,221610,3,48,1.3,0,0.0,10,17,454,0,0,1,11,0,0,0,0,0,11.4,0,0,0
326,Pascal Struijk,100.0,100.0,222694,2,40,2.8,6,5.2,10,61,1736,1,0,6,28,0,0,2,0,2,62.9,0,0,0
327,Jordan Stevens,0.0,0.0,434138,3,43,0.0,0,0.4,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
328,Illan Meslier,100.0,100.0,437495,1,47,4.5,7,7.2,10,143,2880,0,0,10,49,1,0,0,131,20,96.5,0,0,0
329,Leif Davis,100.0,100.0,455084,2,38,1.0,0,1.1,10,2,31,0,0,0,0,0,0,0,0,0,0.3,0,0,0
330,Oliver Casey,,,467114,2,38,0.0,0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
331,Robin Koch,100.0,100.0,193645,2,43,2.4,1,0.3,10,36,950,0,0,4,18,0,0,0,0,2,32.4,0,0,0
332,Rodrigo Moreno,0.0,25.0,80954,4,57,2.7,0,1.8,10,56,1083,3,3,2,20,0,0,3,0,8,102.1,0,0,0
333,Elia Caprile,,,463912,1,40,0.0,0,0.2,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
334,Mateusz Bogusz,0.0,0.0,480216,3,43,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
335,Diego Llorente,100.0,100.0,149915,2,44,3.5,7,0.2,10,39,900,1,0,3,10,0,0,1,0,3,39.5,0,0,0
336,Raphael Dias Belloli,25.0,25.0,219961,3,54,4.4,0,7.6,10,115,2066,6,7,7,33,0,0,3,0,11,220.9,0,0,0
337,Jack Jenkins,,,492374,3,45,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
338,Niall Huggins,,,492066,4,45,1.0,0,0.1,10,1,37,0,0,0,0,0,0,0,0,0,0.6,0,0,0
339,Charlie Cresswell,,,492373,2,40,0.0,0,0.1,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
340,Joe Gelhardt,,,462635,4,45,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
341,Gaetano Berardi,,,38588,2,40,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
342,Sam Greenwood,,,248937,4,45,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
343,Crysencio Summerville,,,450070,3,45,0.0,0,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
344,James Milner,100.0,100.0,15157,3,53,1.8,1,0.1,11,43,1041,0,2,4,10,0,0,2,0,2,54.6,0,0,0
345,Konstantinos Tsimikas,100.0,100.0,214285,2,49,1.0,0,0.0,11,1,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0
346,Georginio Wijnaldum,,,41733,3,53,2.6,2,1.1,11,85,2606,2,1,7,37,0,0,1,0,3,95.2,0,0,0
347,Jordan Henderson,0.0,0.0,56979,3,54,2.7,0,0.9,11,56,1704,1,2,4,23,0,0,0,0,2,72.9,0,0,0
348,Adrián San Miguel del Castillo,,,60706,1,42,3.7,0,0.3,11,11,270,0,0,1,9,0,0,0,10,2,5.9,0,0,0
349,Joel Matip,0.0,0.0,60914,2,54,4.2,0,0.4,11,42,690,1,2,3,5,0,0,2,0,5,30.6,0,0,0
350,Xherdan Shaqiri,100.0,100.0,68312,3,64,1.9,0,0.1,11,25,517,0,2,2,7,0,0,2,0,1,43.9,0,0,0
351,Alex Oxlade-Chamberlain,100.0,100.0,81880,3,63,1.3,0,0.0,11,13,230,0,1,0,6,0,0,0,0,0,12.1,0,0,0
352,Roberto Firmino,100.0,100.0,92217,4,90,3.5,2,3.2,11,109,2476,6,6,8,36,0,0,2,0,10,232.8,0,0,0
353,Virgil van Dijk,0.0,0.0,97032,2,62,3.0,0,6.2,11,15,370,1,0,1,11,0,0,1,0,1,15.3,0,0,0
354,Sadio Mané,100.0,100.0,110979,3,117,4.6,2,5.4,11,137,2432,8,9,9,27,0,0,3,0,8,263.9,0,0,0
355,Alisson Ramses Becker,100.0,100.0,116535,1,59,3.7,3,6.1,11,104,2520,0,0,7,29,1,0,1,68,8,63.4,0,0,0
356,Fabio Henrique Tavares,100.0,100.0,116643,3,54,2.3,1,0.8,11,58,2116,0,2,8,26,0,0,6,0,2,49.6,0,0,0
357,Mohamed Salah,100.0,100.0,118748,3,127,6.2,9,35.7,11,199,2631,20,4,8,38,0,0,0,0,18,318.1,0,0,0
358,Andrew Robertson,100.0,100.0,122798,2,71,3.9,3,14.1,11,129,2934,1,6,9,39,0,0,2,0,14,191.7,0,0,0
359,Divock Origi,0.0,0.0,152760,4,51,1.1,0,0.6,11,10,180,0,0,1,0,0,0,0,0,0,11.1,0,0,0
360,Harry Wilson,0.0,0.0,153682,3,51,0.0,0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
361,Trent Alexander-Arnold,100.0,100.0,169187,2,76,4.1,2,21.0,11,127,2579,2,5,7,37,0,0,1,0,22,201.9,0,0,0
362,Joseph Gomez,0.0,0.0,171287,2,52,1.4,0,1.0,11,10,589,0,0,0,14,0,0,0,0,0,12.5,0,0,0
363,Naby Keita,100.0,100.0,175592,3,52,1.5,0,0.2,11,15,517,0,0,2,8,0,0,1,0,0,29.0,0,0,0
364,Curtis Jones,100.0,100.0,206915,3,44,2.1,1,0.7,11,44,1094,1,1,5,13,0,0,2,0,0,70.6,0,0,0
365,Neco Williams,,,215136,2,38,2.0,0,4.2,11,10,246,0,0,1,1,0,0,1,0,0,12.2,0,0,0
366,Harvey Elliott,0.0,0.0,444884,3,43,0.0,0,0.1,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
367,Diogo Jota,100.0,100.0,194634,3,71,4.7,1,16.8,11,75,954,8,0,3,13,0,0,2,0,9,107.5,0,0,0
368,Thiago Alcántara do Nascimento,100.0,100.0,61558,3,55,1.9,3,0.9,11,36,1401,0,0,5,15,0,0,4,0,0,72.9,0,0,0
369,Caoimhin Kelleher,0.0,0.0,200720,1,45,5.0,0,0.1,11,10,180,0,0,1,1,0,0,0,6,0,5.8,0,0,0
370,Nathaniel Phillips,0.0,25.0,197464,2,41,3.1,0,2.3,11,37,1005,0,0,4,8,0,0,2,0,0,37.9,0,0,0
371,Rhys Williams,100.0,100.0,219937,2,40,1.5,0,0.2,11,6,216,0,0,0,3,0,0,0,0,0,6.3,0,0,0
372,Leighton Clarkson,,,233489,3,45,0.0,0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
373,Jake Cain,,,243343,3,45,0.0,0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
374,Ozan Kabak,100.0,100.0,438277,2,50,2.9,1,0.9,11,26,801,0,0,3,9,0,0,3,0,1,16.7,0,0,0
375,Ben Davies,100.0,100.0,152898,2,47,0.0,0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
376,Liam Hughes,,,433019,1,40,0.0,0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
377,Jakub Ojrzynski,,,490138,1,40,0.0,0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
378,Fernando Luiz Rosa,100.0,100.0,27789,2,54,2.5,0,0.7,12,45,992,0,0,5,8,0,0,5,0,5,42.6,0,0,0
379,Claudio Bravo,0.0,0.0,33148,1,45,0.0,0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
380,Sergio Agüero,100.0,100.0,37572,4,103,1.9,0,1.2,12,17,370,1,0,3,3,0,0,0,0,0,26.1,0,0,0
381,Nicolás Otamendi,0.0,0.0,57410,2,49,0.0,0,0.2,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
382,Kyle Walker,100.0,100.0,58621,2,61,3.8,0,4.9,12,84,1764,1,1,8,17,0,0,1,0,7,57.9,0,0,0
383,Ilkay Gündogan,100.0,100.0,59859,3,57,5.8,0,21.9,12,144,1861,12,3,12,11,0,1,1,0,21,190.2,0,0,0
384,Kevin De Bruyne,100.0,100.0,61366,3,119,5.3,0,14.5,12,128,1905,5,11,11,17,0,1,1,0,17,265.5,0,0,0
385,John Stones,0.0,0.0,97299,2,51,6.0,0,13.0,12,121,1753,4,0,13,9,0,0,0,0,11,73.4,0,0,0
386,Benjamin Mendy,100.0,100.0,102826,2,59,4.8,0,1.6,12,48,766,2,0,4,9,0,0,2,0,5,26.6,0,0,0
387,Riyad Mahrez,,,103025,3,80,5.4,0,5.8,12,134,1791,9,6,10,19,0,0,0,0,15,206.9,0,0,0
388,Raheem Sterling,100.0,100.0,103955,3,111,5.1,0,4.7,12,138,2174,9,8,12,18,0,1,2,0,10,228.3,0,0,0
389,João Pedro Cavaco Cancelo,100.0,100.0,121145,2,59,5.1,0,14.8,12,123,2036,1,3,13,13,0,0,4,0,16,146.8,0,0,0
390,Ederson Santana de Moraes,100.0,100.0,121160,1,61,4.3,0,9.4,12,137,2880,0,1,17,23,0,0,3,53,3,48.4,0,0,0
391,Nathan Aké,100.0,100.0,126184,2,54,3.0,0,2.4,12,21,527,1,0,2,8,0,0,4,0,1,19.1,0,0,0
392,Aymeric Laporte,100.0,100.0,146941,2,60,3.6,0,2.2,12,51,1163,0,0,6,8,0,0,1,0,4,29.3,0,0,0
393,Bernardo Mota Veiga de Carvalho e Silva,100.0,100.0,165809,3,74,3.8,0,1.1,12,91,1897,2,7,11,12,0,0,4,0,9,128.7,0,0,0
